City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Oga,IT,2022-07-28 00:31:40,46.4631,10.347,58.8,88,91,2.89
211,Lusambo,CD,2022-07-28 00:31:41,-4.9667,23.45,67.15,66,27,0.31
212,Namibe,AO,2022-07-28 00:28:17,-15.1961,12.1522,62.19,85,26,7.78
213,Great Falls,US,2022-07-28 00:31:42,47.5002,-111.3008,85.39,29,0,16.11
214,Zhigansk,RU,2022-07-28 00:31:42,66.7697,123.3711,76.57,50,5,3.22
215,Tilichiki,RU,2022-07-28 00:30:52,60.4667,166.1,49.26,68,100,14.29
216,Saskylakh,RU,2022-07-28 00:31:43,71.9167,114.0833,68.67,63,94,11.5
217,Pevek,RU,2022-07-28 00:31:43,69.7008,170.3133,35.74,88,96,2.57
218,Codrington,AU,2022-07-28 00:31:44,-38.2667,141.9667,51.04,77,100,8.55
219,Bone,DE,2022-07-28 00:30:03,51.9669,12.1396,55.81,66,11,5.93
220,Bull Savanna,JM,2022-07-28 00:28:48,17.8868,-77.5902,78.53,81,68,4.88
221,Te Anau,NZ,2022-07-28 00:31:45,-45.4167,167.7167,41.7,98,100,2.08
222,Hami,CN,2022-07-28 00:31:45,42.8,93.45,88.16,10,0,13.4
223,Port Hardy,CA,2022-07-28 00:31:46,50.6996,-127.4199,59.0,80,69,10.8
224,Fethiye,TR,2022-07-28 00:32:47,36.6217,29.1164,73.27,38,0,4.14
225,Deputatskiy,RU,2022-07-28 00:32:48,69.3,139.9,57.74,45,100,5.55
226,Beloha,MG,2022-07-28 00:32:48,-25.1667,45.05,58.24,80,0,4.9
227,Shibetsu,JP,2022-07-28 00:32:48,43.659,145.132,72.3,88,75,1.14
228,Ekibastuz,KZ,2022-07-28 00:32:49,51.6667,75.3667,71.65,50,100,7.81
229,Ancud,CL,2022-07-28 00:32:49,-41.8697,-73.8203,44.29,91,22,4.94
230,Portoferraio,IT,2022-07-28 00:32:50,42.8115,10.3146,80.96,72,0,16.06
231,Avera,US,2022-07-28 00:32:51,33.194,-82.5271,87.55,55,63,8.66
232,Honiara,SB,2022-07-28 00:32:51,-9.4333,159.95,87.55,62,100,7.74
233,Rawson,AR,2022-07-28 00:30:51,-43.3002,-65.1023,41.76,78,18,12.53
234,Makakilo City,US,2022-07-28 00:32:52,21.3469,-158.0858,89.92,44,0,18.41
235,Coahuayana,MX,2022-07-28 00:32:52,18.7333,-103.6833,82.0,76,100,2.37
236,Espita,MX,2022-07-28 00:32:53,21.0167,-88.3167,82.04,69,93,7.4
237,Alofi,NU,2022-07-28 00:32:54,-19.0595,-169.9187,80.49,74,75,16.11
238,Kichera,RU,2022-07-28 00:32:54,55.9375,110.0997,57.15,98,99,3.6
239,Tshela,CD,2022-07-28 00:32:55,-4.9833,12.9333,62.91,99,100,1.12
240,Arman,RU,2022-07-28 00:32:55,59.7,150.1667,66.02,49,64,1.1
241,Krasnoselkup,RU,2022-07-28 00:32:56,65.7,82.4667,52.32,80,92,16.89
242,Ostrovnoy,RU,2022-07-28 00:29:33,68.0531,39.5131,59.16,91,100,16.44
243,High Level,CA,2022-07-28 00:30:06,58.5169,-117.136,86.11,39,20,3.44
244,Tommot,RU,2022-07-28 00:32:57,58.9564,126.2925,77.65,54,7,5.59
245,Sitamau,IN,2022-07-28 00:32:57,24.0167,75.35,74.28,94,98,9.15
246,Broome,US,2022-07-28 00:32:57,42.2506,-75.833,77.9,71,100,1.01
247,Huntington,US,2022-07-28 00:32:58,38.4193,-82.4452,82.38,92,40,0.0
248,Dangriga,BZ,2022-07-28 00:32:58,16.9692,-88.2321,81.1,78,61,11.45
249,Yenagoa,NG,2022-07-28 00:32:59,4.9247,6.2642,73.49,96,99,4.92
250,Maniitsoq,GL,2022-07-28 00:32:59,65.4167,-52.9,42.31,85,18,12.35
251,Cabo San Lucas,MX,2022-07-28 00:33:00,22.8909,-109.9124,89.91,51,0,11.5
252,Gat,IL,2022-07-28 00:33:00,31.61,34.7642,78.4,68,0,2.98
253,Namie,JP,2022-07-28 00:33:01,37.4833,141.0,85.55,81,100,5.97
254,Dudinka,RU,2022-07-28 00:33:01,69.4058,86.1778,54.63,68,100,10.42
255,Mar Del Plata,AR,2022-07-28 00:33:02,-38.0023,-57.5575,51.82,58,100,14.0
256,Bouar,CF,2022-07-28 00:33:02,5.934,15.596,63.63,97,100,2.01
257,Zeya,RU,2022-07-28 00:33:03,53.75,127.2667,70.79,92,100,6.08
258,Letterkenny,IE,2022-07-28 00:33:03,54.95,-7.7333,52.74,94,100,2.48
259,Hervey Bay,AU,2022-07-28 00:33:04,-25.2986,152.8535,63.5,62,0,9.66
260,La Asuncion,VE,2022-07-28 00:30:13,11.0333,-63.8628,77.86,89,87,11.32
261,Oktyabrskiy,RU,2022-07-28 00:28:56,54.4815,53.471,59.34,93,11,3.96
262,Vila Franca Do Campo,PT,2022-07-28 00:33:05,37.7167,-25.4333,73.81,92,67,3.69
263,Antofagasta,CL,2022-07-28 00:28:50,-23.65,-70.4,56.48,86,92,7.72
264,Skjervoy,NO,2022-07-28 00:33:05,70.0311,20.9714,50.0,87,100,15.73
265,Jamame,SO,2022-07-28 00:33:06,0.0722,42.7506,73.29,77,100,10.25
266,Soyo,AO,2022-07-28 00:33:06,-6.1349,12.3689,69.48,90,98,5.01
267,North Platte,US,2022-07-28 00:33:07,41.1239,-100.7654,85.89,42,0,10.36
268,Butaritari,KI,2022-07-28 00:32:59,3.0707,172.7902,81.64,77,19,15.32
269,Kyrylivka,UA,2022-07-28 00:34:07,46.3759,35.3675,73.42,63,0,7.78
270,Shingu,JP,2022-07-28 00:34:08,33.7333,135.9833,83.7,76,46,6.22
271,Casa Nova,BR,2022-07-28 00:34:09,-9.4167,-41.1333,74.55,53,5,19.42
272,Ilulissat,GL,2022-07-28 00:34:09,69.2167,-51.1,44.62,87,75,4.61
273,Falam,MM,2022-07-28 00:34:10,22.9167,93.6833,66.99,87,95,0.96
274,Hualmay,PE,2022-07-28 00:34:10,-11.0964,-77.6139,62.26,84,41,12.3
275,Iquitos,PE,2022-07-28 00:34:11,-3.7481,-73.2472,75.24,94,40,1.14
276,East London,ZA,2022-07-28 00:31:14,-33.0153,27.9116,63.88,76,100,8.61
277,Burgersdorp,ZA,2022-07-28 00:34:11,-30.9977,26.3286,47.26,83,10,5.23
278,Flin Flon,CA,2022-07-28 00:31:07,54.7682,-101.865,66.45,48,96,7.63
279,Ixtapa,MX,2022-07-28 00:34:12,20.7,-105.2,83.23,94,100,20.71
280,Kailua,US,2022-07-28 00:33:50,21.4022,-157.7394,91.38,63,0,11.5
281,Pacific Grove,US,2022-07-28 00:31:32,36.6177,-121.9166,74.55,80,0,12.66
282,Borazjan,IR,2022-07-28 00:34:13,29.2666,51.2159,89.26,68,79,2.66
283,Madison,US,2022-07-28 00:33:13,34.7334,-86.5667,91.2,59,40,10.36
284,Pemangkat,ID,2022-07-28 00:34:13,1.1667,108.9667,79.43,83,80,7.25
285,Yulara,AU,2022-07-28 00:30:00,-25.2406,130.9889,48.51,36,22,10.42
286,Presidente Dutra,BR,2022-07-28 00:34:14,-5.29,-44.49,77.38,51,100,1.99
287,Songea,TZ,2022-07-28 00:34:15,-10.6833,35.65,52.99,90,5,1.72
288,Karratha,AU,2022-07-28 00:34:15,-20.7377,116.8463,74.26,43,0,13.78
289,Bambous Virieux,MU,2022-07-28 00:34:16,-20.3428,57.7575,68.25,88,40,5.75
