City_ID,City,Country,Max Temp,Weather Discription,Lat,Lng,Hotel Name
523,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
524,Nizwa,OM,80.11,overcast clouds,22.9333,57.5333,Orient Apartments
526,Sadat,IN,89.42,overcast clouds,25.6833,83.2833,Tuntun Niwas
527,Manono,CD,78.73,scattered clouds,-7.3,27.4167,Hotel hewa bora
528,Uruzgan,AF,83.3,overcast clouds,32.8333,66.0,
531,Kalmunai,LK,79.02,moderate rain,7.4167,81.8167,VS Villa
532,Najran,SA,90.25,few clouds,17.4924,44.1277,محمد هادي ال فطيح
534,West Plains,US,87.22,overcast clouds,36.7281,-91.8524,West Plains Motel
536,Manpur,IN,75.6,light rain,22.4333,75.6167,Manpur Guest House PWD
537,Jhalawar,IN,79.81,overcast clouds,24.6,76.15,Maan Singh palace Hotel & Resort
538,Nioro,GM,80.83,broken clouds,13.35,-15.75,
539,Hobbs,US,96.82,scattered clouds,32.7026,-103.136,Best Western Executive Inn
