City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Discription
205,Manakara,MG,2022-07-28 19:54:54,-22.1333,48.0167,65.23,90,45,2.46,light rain
206,Norman Wells,CA,2022-07-28 19:54:55,65.282,-126.8329,60.84,63,75,6.91,broken clouds
207,Wewak,PG,2022-07-28 19:54:56,-3.5534,143.6268,78.64,86,91,9.33,overcast clouds
208,Homer,US,2022-07-28 19:54:56,59.6425,-151.5483,66.78,66,12,4.07,few clouds
209,Nuuk,GL,2022-07-28 19:54:57,64.1835,-51.7216,44.29,79,41,8.46,scattered clouds
210,Vila Do Maio,CV,2022-07-28 19:54:57,15.1333,-23.2167,90.39,83,3,18.32,clear sky
211,Lagoa,PT,2022-07-28 19:54:58,39.05,-27.9833,72.34,74,3,4.18,clear sky
212,Akdepe,TM,2022-07-28 19:54:59,42.0551,59.3788,84.29,29,4,9.4,clear sky
213,Krasnoselkup,RU,2022-07-28 19:50:20,65.7,82.4667,52.21,82,0,9.35,clear sky
214,Alpena,US,2022-07-28 19:50:08,45.0617,-83.4327,81.18,53,75,12.66,broken clouds
215,Sampit,ID,2022-07-28 19:55:00,-2.5333,112.95,73.26,99,66,2.13,broken clouds
216,Ponta Do Sol,PT,2022-07-28 19:53:12,32.6667,-17.1,75.7,81,1,2.93,clear sky
217,Riviere-Au-Renard,CA,2022-07-28 19:55:01,48.9957,-64.3971,73.69,76,63,10.0,broken clouds
218,Saldanha,ZA,2022-07-28 19:52:33,-33.0117,17.9442,59.05,87,14,11.16,few clouds
219,Batticaloa,LK,2022-07-28 19:53:14,7.7102,81.6924,79.56,82,100,5.84,heavy intensity rain
220,Tepetitlan,MX,2022-07-28 19:55:02,19.6333,-99.9167,64.13,69,76,1.54,broken clouds
221,Oum Hadjer,TD,2022-07-28 19:55:02,13.2954,19.6966,80.01,69,45,10.67,scattered clouds
222,Kruisfontein,ZA,2022-07-28 19:55:03,-34.0033,24.7314,59.85,65,0,7.76,clear sky
223,Margate,GB,2022-07-28 19:50:46,51.3813,1.3862,65.89,70,100,4.0,overcast clouds
224,Yulara,AU,2022-07-28 19:55:04,-25.2406,130.9889,47.59,34,89,9.66,overcast clouds
225,Yar-Sale,RU,2022-07-28 19:55:04,66.8333,70.8333,62.08,63,96,5.64,overcast clouds
226,Glace Bay,CA,2022-07-28 19:55:05,46.1969,-59.957,75.85,67,40,8.05,scattered clouds
227,Geraldton,AU,2022-07-28 19:55:05,-28.7667,114.6,57.61,94,40,10.36,scattered clouds
228,Okhotsk,RU,2022-07-28 19:50:48,59.3833,143.3,58.96,88,8,6.89,clear sky
229,Shumskiy,RU,2022-07-28 19:55:07,54.8318,99.1328,57.49,89,100,3.56,overcast clouds
230,Ilulissat,GL,2022-07-28 19:55:07,69.2167,-51.1,45.66,62,96,7.0,overcast clouds
231,Boyolangu,ID,2022-07-28 19:55:08,-8.1181,111.8935,71.85,94,100,1.77,overcast clouds
232,Muhos,FI,2022-07-28 19:51:34,64.808,25.9931,58.78,86,75,5.93,broken clouds
233,Fortuna Foothills,US,2022-07-28 19:55:09,32.6578,-114.4119,96.85,28,0,13.8,clear sky
234,Lavrentiya,RU,2022-07-28 19:55:09,65.5833,-171.0,43.7,88,100,4.94,overcast clouds
235,Bubaque,GW,2022-07-28 19:55:10,11.2833,-15.8333,79.99,83,45,12.88,scattered clouds
236,Nalut,LY,2022-07-28 19:55:11,30.3333,10.85,93.96,15,50,7.14,scattered clouds
237,Cape Girardeau,US,2022-07-28 19:55:11,37.3834,-89.7168,84.79,73,100,4.0,overcast clouds
238,Sangar,RU,2022-07-28 19:55:12,63.9242,127.4739,65.97,73,6,1.12,clear sky
239,Varhaug,NO,2022-07-28 19:55:12,58.6147,5.6457,59.7,80,4,6.29,clear sky
240,Ostrovnoy,RU,2022-07-28 19:53:19,68.0531,39.5131,50.25,90,69,14.29,broken clouds
241,Tonekabon,IR,2022-07-28 19:55:13,36.8163,50.8738,76.95,89,82,4.41,light rain
242,Bandarbeyla,SO,2022-07-28 19:50:29,9.4942,50.8122,76.6,81,59,26.87,broken clouds
243,Sorong,ID,2022-07-28 19:50:14,-0.8833,131.25,77.61,86,71,4.63,broken clouds
244,Geneva,US,2022-07-28 19:51:08,41.8875,-88.3054,81.79,53,0,13.8,clear sky
245,Aklavik,CA,2022-07-28 19:52:02,68.2191,-135.0107,50.0,93,100,2.3,overcast clouds
246,Sorkjosen,NO,2022-07-28 19:55:15,69.8,20.9333,51.8,76,100,0.0,overcast clouds
247,Shediac,CA,2022-07-28 19:55:15,46.2198,-64.5411,77.52,61,75,10.36,broken clouds
248,Novopokrovka,UA,2022-07-28 19:55:16,49.8425,36.5477,66.72,84,94,7.56,overcast clouds
249,Kultayevo,RU,2022-07-28 19:55:17,57.8943,55.9392,62.58,77,0,4.47,clear sky
250,Palu,ID,2022-07-28 19:55:18,-0.8917,119.8707,74.61,96,51,2.86,broken clouds
251,Pacific Grove,US,2022-07-28 19:55:18,36.6177,-121.9166,82.22,85,40,10.36,scattered clouds
252,Necochea,AR,2022-07-28 19:51:54,-38.5473,-58.7368,47.95,83,100,21.54,overcast clouds
253,Grajau,BR,2022-07-28 19:55:19,-5.8194,-46.1386,94.53,25,0,3.13,clear sky
254,Omboue,GA,2022-07-28 19:55:20,-1.5746,9.2618,71.82,84,89,5.84,overcast clouds
255,Ahipara,NZ,2022-07-28 19:55:20,-35.1667,173.1667,56.3,73,99,10.71,overcast clouds
256,Sao Jose Da Coroa Grande,BR,2022-07-28 19:53:06,-8.8978,-35.1478,76.12,82,18,5.68,few clouds
257,Sinnamary,GF,2022-07-28 19:55:21,5.3833,-52.95,81.0,82,77,8.37,broken clouds
258,Isla Mujeres,MX,2022-07-28 19:55:21,21.2311,-86.731,89.65,71,79,9.82,broken clouds
259,Coihaique,CL,2022-07-28 19:55:22,-45.5752,-72.0662,46.35,53,75,11.5,broken clouds
260,Sur,OM,2022-07-28 19:55:23,22.5667,59.5289,82.51,72,100,16.26,overcast clouds
